2025-05-19 12:05:51.540 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.540078", "args": "(3,)", "kwargs": "{}"}}
2025-05-19 12:05:51.540 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.540774", "args": "(2,)", "kwargs": "{}"}}
2025-05-19 12:05:51.540 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.540774", "args": "(1,)", "kwargs": "{}"}}
2025-05-19 12:05:51.542 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.540774", "args": "(1,)", "kwargs": "{}", "duration_seconds": "0.0000", "result": "1"}}
2025-05-19 12:05:51.542 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.540774", "args": "(2,)", "kwargs": "{}", "duration_seconds": "0.0000", "result": "2"}}
2025-05-19 12:05:51.543 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.540078", "args": "(3,)", "kwargs": "{}", "duration_seconds": "0.0000", "result": "6"}}
2025-05-19 12:05:51.543 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.538757", "args": "(4,)", "kwargs": "{}", "duration_seconds": "0.0000", "result": "24"}}
2025-05-19 12:05:51.544 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.538757", "args": "(5,)", "kwargs": "{}", "duration_seconds": "0.0000", "result": "120"}}
2025-05-19 12:05:51.544 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.537757", "args": "(6,)", "kwargs": "{}", "duration_seconds": "0.0000", "result": "720"}}
2025-05-19 12:05:51.546 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.536749", "args": "(7,)", "kwargs": "{}", "duration_seconds": "0.0000", "result": "5040"}}
2025-05-19 12:05:51.547 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.536749", "args": "(8,)", "kwargs": "{}", "duration_seconds": "0.0150", "result": "40320"}}
2025-05-19 12:05:51.548 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.536182", "args": "(9,)", "kwargs": "{}", "duration_seconds": "0.0150", "result": "362880"}}
2025-05-19 12:05:51.549 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.535176", "args": "(10,)", "kwargs": "{}", "duration_seconds": "0.0150", "result": "3628800"}}
2025-05-19 12:05:51.550 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.535176", "args": "(11,)", "kwargs": "{}", "duration_seconds": "0.0150", "result": "39916800"}}
